"","unique(lncrna_genes$gene_id)"
"1","ENSG00000243485"
"2","ENSG00000237613"
"3","ENSG00000238009"
"4","ENSG00000239945"
"5","ENSG00000239906"
"6","ENSG00000241860"
"7","ENSG00000241599"
"8","ENSG00000286448"
"9","ENSG00000236601"
"10","ENSG00000235146"
"11","ENSG00000229905"
"12","ENSG00000237491"
"13","ENSG00000177757"
"14","ENSG00000228794"
"15","ENSG00000225880"
"16","ENSG00000230368"
"17","ENSG00000272438"
"18","ENSG00000230699"
"19","ENSG00000241180"
"20","ENSG00000223764"
"21","ENSG00000272512"
"22","ENSG00000224969"
"23","ENSG00000242590"
"24","ENSG00000273443"
"25","ENSG00000285812"
"26","ENSG00000223823"
"27","ENSG00000272141"
"28","ENSG00000205231"
"29","ENSG00000260179"
"30","ENSG00000230415"
"31","ENSG00000240731"
"32","ENSG00000224870"
"33","ENSG00000272455"
"34","ENSG00000225905"
"35","ENSG00000225285"
"36","ENSG00000215014"
"37","ENSG00000286989"
"38","ENSG00000272106"
"39","ENSG00000272004"
"40","ENSG00000268575"
"41","ENSG00000231050"
"42","ENSG00000233542"
"43","ENSG00000226969"
"44","ENSG00000271806"
"45","ENSG00000182873"
"46","ENSG00000234396"
"47","ENSG00000287356"
"48","ENSG00000272161"
"49","ENSG00000272420"
"50","ENSG00000224387"
"51","ENSG00000229393"
"52","ENSG00000272449"
"53","ENSG00000238164"
"54","ENSG00000225931"
"55","ENSG00000228037"
"56","ENSG00000237058"
"57","ENSG00000285945"
"58","ENSG00000283259"
"59","ENSG00000233234"
"60","ENSG00000287396"
"61","ENSG00000231630"
"62","ENSG00000284745"
"63","ENSG00000177133"
"64","ENSG00000226286"
"65","ENSG00000279839"
"66","ENSG00000272235"
"67","ENSG00000287828"
"68","ENSG00000286518"
"69","ENSG00000272088"
"70","ENSG00000238260"
"71","ENSG00000227589"
"72","ENSG00000235131"
"73","ENSG00000272153"
"74","ENSG00000236423"
"75","ENSG00000233304"
"76","ENSG00000226374"
"77","ENSG00000284668"
"78","ENSG00000284703"
"79","ENSG00000235054"
"80","ENSG00000284694"
"81","ENSG00000227169"
"82","ENSG00000232596"
"83","ENSG00000287586"
"84","ENSG00000284739"
"85","ENSG00000284674"
"86","ENSG00000231510"
"87","ENSG00000284616"
"88","ENSG00000284692"
"89","ENSG00000284666"
"90","ENSG00000260972"
"91","ENSG00000236948"
"92","ENSG00000226944"
"93","ENSG00000225077"
"94","ENSG00000271746"
"95","ENSG00000231868"
"96","ENSG00000228750"
"97","ENSG00000284744"
"98","ENSG00000237436"
"99","ENSG00000237365"
"100","ENSG00000237402"
"101","ENSG00000237728"
"102","ENSG00000225126"
"103","ENSG00000270171"
"104","ENSG00000270035"
"105","ENSG00000269978"
"106","ENSG00000269925"
"107","ENSG00000236266"
"108","ENSG00000284747"
"109","ENSG00000284716"
"110","ENSG00000238290"
"111","ENSG00000227634"
"112","ENSG00000233645"
"113","ENSG00000232912"
"114","ENSG00000228423"
"115","ENSG00000230679"
"116","ENSG00000228526"
"117","ENSG00000234546"
"118","ENSG00000284652"
"119","ENSG00000284693"
"120","ENSG00000235263"
"121","ENSG00000179840"
"122","ENSG00000231789"
"123","ENSG00000280113"
"124","ENSG00000223989"
"125","ENSG00000285701"
"126","ENSG00000228150"
"127","ENSG00000241326"
"128","ENSG00000284735"
"129","ENSG00000284642"
"130","ENSG00000271989"
"131","ENSG00000203469"
"132","ENSG00000287727"
"133","ENSG00000272078"
"134","ENSG00000271895"
"135","ENSG00000226849"
"136","ENSG00000230337"
"137","ENSG00000225602"
"138","ENSG00000284646"
"139","ENSG00000285833"
"140","ENSG00000235643"
"141","ENSG00000284708"
"142","ENSG00000177553"
"143","ENSG00000285646"
"144","ENSG00000287384"
"145","ENSG00000285604"
"146","ENSG00000229484"
"147","ENSG00000272482"
"148","ENSG00000228338"
"149","ENSG00000233336"
"150","ENSG00000228229"
"151","ENSG00000259961"
"152","ENSG00000237445"
"153","ENSG00000231606"
"154","ENSG00000234593"
"155","ENSG00000287756"
"156","ENSG00000175147"
"157","ENSG00000204464"
"158","ENSG00000233485"
"159","ENSG00000236045"
"160","ENSG00000228140"
"161","ENSG00000272510"
"162","ENSG00000237301"
"163","ENSG00000271742"
"164","ENSG00000237938"
"165","ENSG00000224459"
"166","ENSG00000179743"
"167","ENSG00000233078"
"168","ENSG00000227959"
"169","ENSG00000224621"
"170","ENSG00000234166"
"171","ENSG00000288398"
"172","ENSG00000226029"
"173","ENSG00000261135"
"174","ENSG00000285853"
"175","ENSG00000224174"
"176","ENSG00000233421"
"177","ENSG00000271732"
"178","ENSG00000282143"
"179","ENSG00000279151"
"180","ENSG00000282740"
"181","ENSG00000223643"
"182","ENSG00000228549"
"183","ENSG00000238142"
"184","ENSG00000272426"
"185","ENSG00000286898"
"186","ENSG00000226526"
"187","ENSG00000204362"
"188","ENSG00000282843"
"189","ENSG00000227751"
"190","ENSG00000236648"
"191","ENSG00000284653"
"192","ENSG00000261781"
"193","ENSG00000280222"
"194","ENSG00000230035"
"195","ENSG00000225387"
"196","ENSG00000272084"
"197","ENSG00000230424"
"198","ENSG00000235185"
"199","ENSG00000235434"
"200","ENSG00000227066"
"201","ENSG00000225986"
"202","ENSG00000228105"
"203","ENSG00000284710"
"204","ENSG00000226664"
"205","ENSG00000236963"
"206","ENSG00000226487"
"207","ENSG00000284641"
"208","ENSG00000284743"
"209","ENSG00000117242"
"210","ENSG00000233069"
"211","ENSG00000287192"
"212","ENSG00000236936"
"213","ENSG00000231105"
"214","ENSG00000236009"
"215","ENSG00000233431"
"216","ENSG00000285959"
"217","ENSG00000228397"
"218","ENSG00000218510"
"219","ENSG00000285752"
"220","ENSG00000230068"
"221","ENSG00000285873"
"222","ENSG00000279625"
"223","ENSG00000237200"
"224","ENSG00000225952"
"225","ENSG00000240553"
"226","ENSG00000261326"
"227","ENSG00000284726"
"228","ENSG00000249087"
"229","ENSG00000271420"
"230","ENSG00000235052"
"231","ENSG00000285802"
"232","ENSG00000197880"
"233","ENSG00000236810"
"234","ENSG00000232557"
"235","ENSG00000225315"
"236","ENSG00000230703"
"237","ENSG00000230023"
"238","ENSG00000232298"
"239","ENSG00000286061"
"240","ENSG00000264443"
"241","ENSG00000284699"
